topology: 4 5 4
out: 1.496599 1.598045 2.47423 13.330373 
in: 1.517259 1.59494 2.464464 13.466845 
out: 1.4926 1.59756 2.470361 13.362068 
in: 1.512246 1.584688 2.45859 13.365758 
out: 1.494447 1.619173 2.507538 13.62152 
in: 1.514506 1.593546 2.474248 13.37273 
out: 1.4961 1.619573 2.510755 13.598189 
in: 1.5017 1.604165 2.488273 13.365788 
out: 1.512603 1.617896 2.505077 13.57712 
in: 1.503199 1.60565 2.488488 13.392392 
out: 1.515306 1.623728 2.523288 13.650638 
in: 1.496599 1.598045 2.47423 13.330373 
out: 1.516507 1.616594 2.512287 13.527933 
in: 1.4926 1.59756 2.470361 13.362068 
out: 1.518941 1.61337 2.506191 13.543693 
in: 1.494447 1.619173 2.507538 13.62152 
out: 1.515703 1.613168 2.505859 13.583416 
in: 1.4961 1.619573 2.510755 13.598189 
out: 1.506597 1.625526 2.514759 13.732098 
in: 1.512603 1.617896 2.505077 13.57712 
out: 1.49985 1.622999 2.510351 13.78451 
in: 1.515306 1.623728 2.523288 13.650638 
out: 1.49765 1.618853 2.503024 13.710116 
in: 1.516507 1.616594 2.512287 13.527933 
out: 1.493201 1.626581 2.511924 13.770186 
in: 1.518941 1.61337 2.506191 13.543693 
out: 1.494199 1.640419 2.533277 13.866721 
in: 1.515703 1.613168 2.505859 13.583416 
out: 1.492797 1.651289 2.549275 13.857636 
in: 1.506597 1.625526 2.514759 13.732098 
out: 1.505149 1.656243 2.561641 13.854652 
in: 1.49985 1.622999 2.510351 13.78451 
out: 1.508046 1.666437 2.575422 13.941656 
in: 1.49765 1.618853 2.503024 13.710116 
out: 1.502249 1.670149 2.58168 13.889566 
in: 1.493201 1.626581 2.511924 13.770186 
out: 1.50055 1.661021 2.56566 13.839974 
in: 1.494199 1.640419 2.533277 13.866721 
out: 1.505 1.649778 2.55692 13.755829 
in: 1.492797 1.651289 2.549275 13.857636 
out: 1.503451 1.66541 2.586145 13.887606 
in: 1.505149 1.656243 2.561641 13.854652 
out: 1.504049 1.648555 2.568915 13.753752 
in: 1.508046 1.666437 2.575422 13.941656 
out: 1.505402 1.656688 2.585937 13.878184 
in: 1.502249 1.670149 2.58168 13.889566 
out: 1.4992 1.637293 2.557854 13.801871 
in: 1.50055 1.661021 2.56566 13.839974 
out: 1.497249 1.633154 2.553196 13.746362 
in: 1.505 1.649778 2.55692 13.755829 
out: 1.491846 1.649855 2.571628 13.854453 
in: 1.503451 1.66541 2.586145 13.887606 
out: 1.4874 1.649458 2.578507 13.831748 
in: 1.504049 1.648555 2.568915 13.753752 
out: 1.4803 1.656471 2.571826 13.851428 
in: 1.505402 1.656688 2.585937 13.878184 
out: 1.483793 1.647872 2.555307 13.772678 
in: 1.4992 1.637293 2.557854 13.801871 
out: 1.477852 1.64416 2.545346 13.745812 
in: 1.497249 1.633154 2.553196 13.746362 
out: 1.469506 1.63016 2.516151 13.717545 
in: 1.491846 1.649855 2.571628 13.854453 
out: 1.463793 1.625353 2.513186 13.718389 
in: 1.4874 1.649458 2.578507 13.831748 
out: 1.444022 1.625013 2.515086 13.657797 
in: 1.4803 1.656471 2.571826 13.851428 
out: 1.455954 1.628201 2.517794 13.726488 
in: 1.483793 1.647872 2.555307 13.772678 
out: 1.448945 1.6288 2.526091 13.627669 
in: 1.477852 1.64416 2.545346 13.745812 
out: 1.463646 1.622506 2.520171 13.607623 
in: 1.469506 1.63016 2.516151 13.717545 
out: 1.454536 1.630444 2.523813 13.649459 
in: 1.463793 1.625353 2.513186 13.718389 
out: 1.447855 1.643125 2.544386 13.819645 
in: 1.444022 1.625013 2.515086 13.657797 
out: 1.43273 1.652819 2.555827 13.79427 
in: 1.455954 1.628201 2.517794 13.726488 
out: 1.425042 1.636639 2.530401 13.643762 
in: 1.448945 1.6288 2.526091 13.627669 
out: 1.411741 1.643387 2.515299 13.73628 
in: 1.463646 1.622506 2.520171 13.607623 
out: 1.402021 1.628741 2.477272 13.657783 
in: 1.454536 1.630444 2.523813 13.649459 
out: 1.409705 1.630822 2.487424 13.714942 
in: 1.447855 1.643125 2.544386 13.819645 
out: 1.414707 1.634203 2.495253 13.717088 
in: 1.43273 1.652819 2.555827 13.79427 
out: 1.409295 1.6273 2.492642 13.677416 
in: 1.425042 1.636639 2.530401 13.643762 
out: 1.39852 1.637882 2.492563 13.730665 
in: 1.411741 1.643387 2.515299 13.73628 
out: 1.402379 1.645542 2.496638 13.776848 
in: 1.402021 1.628741 2.477272 13.657783 
out: 1.410505 1.66907 2.520069 13.959725 
in: 1.409705 1.630822 2.487424 13.714942 
out: 1.413165 1.659366 2.501835 13.894357 
in: 1.414707 1.634203 2.495253 13.717088 
out: 1.452564 1.658085 2.517255 14.035935 
in: 1.409295 1.6273 2.492642 13.677416 
out: 1.453273 1.659295 2.526522 14.032555 
in: 1.39852 1.637882 2.492563 13.730665 
out: 1.451919 1.660569 2.518546 14.055212 
in: 1.402379 1.645542 2.496638 13.776848 
out: 1.465614 1.653365 2.523852 14.047968 
in: 1.410505 1.66907 2.520069 13.959725 
out: 1.462607 1.658451 2.526308 14.162656 
in: 1.413165 1.659366 2.501835 13.894357 
out: 1.472442 1.674538 2.551849 14.243561 
in: 1.452564 1.658085 2.517255 14.035935 
out: 1.468394 1.668485 2.540733 14.227267 
in: 1.453273 1.659295 2.526522 14.032555 
out: 1.462315 1.667833 2.539826 14.228405 
in: 1.451919 1.660569 2.518546 14.055212 
out: 1.452845 1.661985 2.517742 14.243752 
in: 1.465614 1.653365 2.523852 14.047968 
out: 1.453345 1.666201 2.527153 14.222529 
in: 1.462607 1.658451 2.526308 14.162656 
out: 1.44746 1.660933 2.529764 14.177671 
in: 1.472442 1.674538 2.551849 14.243561 
out: 1.447189 1.664892 2.531821 14.233446 
in: 1.468394 1.668485 2.540733 14.227267 
out: 1.455554 1.67135 2.538198 14.349583 
in: 1.462315 1.667833 2.539826 14.228405 
out: 1.4584 1.67097 2.527329 14.401552 
in: 1.452845 1.661985 2.517742 14.243752 
out: 1.460046 1.689646 2.552344 14.501938 
in: 1.453345 1.666201 2.527153 14.222529 
out: 1.473242 1.703806 2.567562 14.526192 
in: 1.44746 1.660933 2.529764 14.177671 
out: 1.448374 1.698363 2.56723 14.436759 
in: 1.447189 1.664892 2.531821 14.233446 
out: 1.438081 1.693922 2.558274 14.40661 
in: 1.455554 1.67135 2.538198 14.349583 
out: 1.446016 1.690724 2.554571 14.417919 
in: 1.4584 1.67097 2.527329 14.401552 
out: 1.445611 1.716513 2.582563 14.577371 
in: 1.460046 1.689646 2.552344 14.501938 
out: 1.444977 1.708788 2.57332 14.525651 
in: 1.473242 1.703806 2.567562 14.526192 
out: 1.455613 1.73343 2.60274 14.711666 
in: 1.448374 1.698363 2.56723 14.436759 
out: 1.454596 1.735073 2.606441 14.64785 
in: 1.438081 1.693922 2.558274 14.40661 
out: 1.442411 1.733284 2.600709 14.648726 
in: 1.446016 1.690724 2.554571 14.417919 
out: 1.425485 1.719595 2.598324 14.58397 
in: 1.445611 1.716513 2.582563 14.577371 
out: 1.431934 1.722177 2.599209 14.640607 
in: 1.444977 1.708788 2.57332 14.525651 
out: 1.462654 1.720313 2.624749 14.609716 
in: 1.455613 1.73343 2.60274 14.711666 
out: 1.448126 1.720101 2.615782 14.586226 
in: 1.454596 1.735073 2.606441 14.64785 
out: 1.44885 1.706738 2.603973 14.446411 
in: 1.442411 1.733284 2.600709 14.648726 
out: 1.445972 1.682818 2.56618 14.343544 
in: 1.425485 1.719595 2.598324 14.58397 
out: 1.443911 1.677033 2.553384 14.296089 
in: 1.431934 1.722177 2.599209 14.640607 
out: 1.448626 1.662864 2.535675 14.216674 
in: 1.462654 1.720313 2.624749 14.609716 
out: 1.429378 1.656638 2.523041 14.242522 
in: 1.448126 1.720101 2.615782 14.586226 
out: 1.422658 1.657792 2.518317 14.222379 
in: 1.44885 1.706738 2.603973 14.446411 
out: 1.414617 1.658608 2.522028 14.201294 
in: 1.445972 1.682818 2.56618 14.343544 
out: 1.431377 1.647649 2.506951 14.181803 
in: 1.443911 1.677033 2.553384 14.296089 
out: 1.429007 1.659915 2.525603 14.294286 
in: 1.448626 1.662864 2.535675 14.216674 
out: 1.435213 1.669629 2.538102 14.432157 
in: 1.429378 1.656638 2.523041 14.242522 
out: 1.425472 1.658394 2.5237 14.326943 
in: 1.422658 1.657792 2.518317 14.222379 
out: 1.42505 1.661769 2.537911 14.360423 
in: 1.414617 1.658608 2.522028 14.201294 
out: 1.422631 1.662118 2.535146 14.383723 
in: 1.431377 1.647649 2.506951 14.181803 
out: 1.422208 1.676706 2.557328 14.525535 
in: 1.429007 1.659915 2.525603 14.294286 
out: 1.423373 1.671116 2.549966 14.490648 
in: 1.435213 1.669629 2.538102 14.432157 
out: 1.41885 1.675126 2.546736 14.566452 
in: 1.425472 1.658394 2.5237 14.326943 
out: 1.407387 1.667465 2.532917 14.46218 
in: 1.42505 1.661769 2.537911 14.360423 
out: 1.40183 1.66216 2.527906 14.42767 
in: 1.422631 1.662118 2.535146 14.383723 
out: 1.405069 1.671909 2.535829 14.485617 
in: 1.422208 1.676706 2.557328 14.525535 
out: 1.418241 1.662651 2.517448 14.440298 
in: 1.423373 1.671116 2.549966 14.490648 
out: 1.417983 1.65532 2.49633 14.387268 
in: 1.41885 1.675126 2.546736 14.566452 
out: 1.421689 1.651484 2.495848 14.352903 
in: 1.407387 1.667465 2.532917 14.46218 
out: 1.433233 1.637373 2.476086 14.21789 
in: 1.40183 1.66216 2.527906 14.42767 
out: 1.44028 1.639453 2.483042 14.217666 
in: 1.405069 1.671909 2.535829 14.485617 
out: 1.447605 1.631359 2.461653 14.071085 
